Date,Open,High,Low,Close,Volume,Market Cap
"Apr 03, 2021",59397.41,60110.27,57603.89,57603.89,59641344484,1075617261180
"Apr 04, 2021",57604.84,58913.75,57168.68,58758.56,50749662970,1097232660348
"Apr 05, 2021",58760.87,59891.3,57694.83,59057.88,60706272115,1102880790089
"Apr 06, 2021",59171.93,59479.58,57646.81,58192.36,66058027988,1086769183295
"Apr 07, 2021",58186.51,58731.14,55604.02,56048.94,75645303584,1046793054753
"Apr 08, 2021",56099.91,58338.74,55879.08,58323.95,53053855641,1089334328139
"Apr 09, 2021",58326.56,58937.05,57807.86,58245,46655208546,1087911057870
"Apr 10, 2021",58253.78,61276.67,58038.71,59793.24,58238470525,1116889802872
"Apr 11, 2021",59846.23,60790.56,59289.8,60204.96,46280252580,1124635848775
"Apr 12, 2021",60175.94,61253.04,59589.87,59893.45,51828688519,1118871072069
"Apr 13, 2021",59890.02,63742.28,59869.96,63503.46,69983454362,1186364044140
"Apr 14, 2021",63523.75,64863.1,61554.8,63109.7,77451779687,1179061093980
"Apr 15, 2021",63075.2,63821.67,62208.96,63314.01,60954381579,1182945492744
"Apr 16, 2021",63258.51,63594.72,60222.53,61572.79,84293007468,1150457156740
"Apr 17, 2021",61529.92,62572.18,60361.35,60683.82,66138759198,1133882479237
"Apr 18, 2021",60701.89,61057.46,52829.54,56216.19,97468872758,1050445401610
"Apr 19, 2021",56191.58,57520.05,54368.59,55724.27,65344865159,1041287672154
"Apr 20, 2021",55681.79,57062.15,53448.05,56473.03,67849323955,1055323526514
"Apr 21, 2021",56471.13,56757.97,53695.47,53906.09,54926612466,1007389534360
"Apr 22, 2021",53857.11,55410.23,50583.81,51762.27,74798630778,967372472375
"Apr 23, 2021",51739.81,52120.79,47714.66,51093.65,86668667320,954919230092
"Apr 24, 2021",51143.23,51167.56,48805.28,50050.87,49014494781,935471648213
"Apr 25, 2021",50052.83,50506.02,47159.49,49004.25,46117114240,915955943256
"Apr 26, 2021",49077.79,54288,48852.8,54021.75,58284039825,1009780042661
